Category,Dependent,R2,App_t,App_p,Sleep_t,Sleep_p,Inter_t,Inter_p
GAME,PHQ9_score,0.004201798088102171,-0.06203450094999275,0.9505353571146071,-1.8404737784855436,0.06569871049343415,-2.2549736945417647,0.024134979982168677
GAME,GAD7_score,0.004533307014065735,0.5605615697045959,0.5750964559756531,-1.277687216868687,0.2013597342824568,-0.9374400700343835,0.34853223748753903
GAME,Stress_score,0.014888289169406876,0.6941776660628067,0.48757079695526473,-2.5818870727027234,0.009826173201123539,-2.320983456885553,0.02028773671293778
MAPS,PHQ9_score,0.004414337599216389,-1.167339060946164,0.24307347016762093,-1.8038666483887789,0.07125221450041457,-0.4349325321447423,0.6636114000933234
MAPS,GAD7_score,0.003047544661362145,-0.25124643381187545,0.8016235866202006,-1.161444906554332,0.24546101577369128,-0.2807188952123855,0.7789260149889152
MAPS,Stress_score,0.006905291970766836,0.32259927726761833,0.7469987411459232,-1.9352359586427357,0.052961347008811666,1.4903852041290113,0.1361229806326423
NEWS,PHQ9_score,0.0026714359004134103,0.18788518412528601,0.8509666572575902,-1.6503517787562638,0.09887100768972629,1.6503517787562634,0.09887100768972641
NEWS,GAD7_score,0.003484327910316498,0.8416738159264798,0.39997055853810826,-1.1702386819815997,0.2419049301591445,1.1702386819815984,0.24190493015914494
NEWS,Stress_score,0.004043755134475968,0.3261070768517932,0.7443433429086195,-1.9031656816616345,0.05701892964442641,1.9031656816616342,0.057018929644426446
PRODUCTIVITY,PHQ9_score,0.02494578005968806,2.57562335277867,0.010005957570473413,-1.7997131352817028,0.07190594595153377,-1.4180888765776452,0.15616481838731364
PRODUCTIVITY,GAD7_score,0.014952920709750628,2.5919473704050717,0.009543436994306261,-1.2284893588501409,0.21926332156844175,-1.9122275335387349,0.055847016001303165
PRODUCTIVITY,Stress_score,0.004196079685386933,-0.2202603043276553,0.8256684335432677,-1.8599596727946448,0.06289123170023864,-0.9697270731942113,0.33218255194895907
SOCIAL,PHQ9_score,0.0057529823936549596,0.9909328508251031,0.3217183700863434,-1.8679654761086326,0.061766883254375786,3.825589069312651,0.00013045975382462897
SOCIAL,GAD7_score,0.008365095770850983,1.412978996888086,0.15766189972263056,-1.1818378681760087,0.23727003897145793,2.2060747317236316,0.027378767607191892
SOCIAL,Stress_score,0.013794824369737557,1.6553383898571983,0.09785587579828459,-2.1414766829402136,0.032235616858622716,2.4684927573678346,0.01356833977882838
VIDEO,PHQ9_score,0.00920832396713478,-1.7038279176924669,0.08841324070342024,-1.3712338077522128,0.17030208238973332,1.0155074304438938,0.3098640063944691
VIDEO,GAD7_score,0.008806834956529674,-1.3811872189475132,0.16722140355034376,-1.1693655081676992,0.2422564003224731,-0.5089678419464971,0.6107747651907245
VIDEO,Stress_score,0.005837621484892086,-0.9430557893913798,0.345652367632854,-1.978841041806123,0.04783390601282544,-0.7350807427593179,0.46229032160955286
